1.00,145.99
1.00,27.44
1.00,20.30
1.00,16.56
1.00,16.08
1.00,13.57
1.00,10.64
1.00,9.54
1.00,8.52
1.00,7.92
1.00,7.40
1.00,6.95
1.00,6.90
1.00,6.47
1.00,5.92
1.00,5.69
1.00,5.46
1.00,5.41
1.00,5.24
1.00,5.12
1.00,4.62
1.00,4.22
1.00,4.10
1.00,3.81
1.00,3.72
1.00,3.67
1.00,3.54
1.00,3.51
1.00,3.50
1.00,3.41
1.00,3.36
1.00,3.32
1.00,3.31
1.00,3.10
1.00,2.87
1.00,2.66
1.00,2.61
1.00,2.59
1.00,2.40
1.00,2.39
1.00,2.35
1.00,2.34
1.00,2.32
1.00,2.13
1.00,2.11
1.00,2.03
1.00,2.00
1.00,1.96
1.00,1.91
1.00,1.87
1.00,1.85
1.00,1.85
1.00,1.79
1.00,1.69
1.00,1.65
1.00,1.63
1.00,1.63
1.00,1.57
1.00,1.52
1.00,1.49
1.00,1.44
1.00,1.43
1.00,1.39
1.00,1.38
1.00,1.38
1.00,1.36
1.00,1.32
1.00,1.30
1.00,1.29
1.00,1.28
1.00,1.28
1.00,1.27
1.00,1.26
1.00,1.25
1.00,1.24
1.00,1.23
1.00,1.23
1.00,1.22
1.00,1.21
1.00,1.18
1.00,1.15
1.00,1.14
1.00,1.14
1.00,1.13
1.00,1.10
1.00,1.09
1.00,1.08
1.00,1.06
1.00,1.06
1.00,1.06
1.00,1.05
1.00,1.05
1.00,1.03
1.00,1.03
1.00,1.02
1.00,1.02
1.00,1.02
1.00,1.01
1.00,1.00
1.00,1.00
